Unnamed: 0,Region,Country,Year,Gender,Completion Rate for Primary Edu,Childhood Education GER,"Gross enrolment ratio, early childhood educational development programmes,","Gross intake ratio to the last grade of primary education,",Literacy rate for 25-64 years old,Expenditure on education as a percentage of total government expenditure (%),Government expenditure on education as a percentage of GDP (%)
109,SDG: Central and Southern Asia,Kazakhstan,2017,male,99.8,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,109.08,73.7825,14.34,2.75
110,SDG: Central and Southern Asia,Kazakhstan,2018,female,99.9,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,111.67,73.7825,17.9,2.62
111,SDG: Central and Southern Asia,Kazakhstan,2018,male,99.8,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,109.17,73.7825,17.9,2.62
112,SDG: Central and Southern Asia,Kazakhstan,2019,female,99.9,47.67,16.87,106.96,73.7825,18.96,2.86
113,SDG: Central and Southern Asia,Kazakhstan,2019,male,99.8,46.64,16.33,105.83,73.7825,18.96,2.86
114,SDG: Central and Southern Asia,Kazakhstan,2020,female,99.9,55.76,28.22,101.44,99.8,20.16,4.45
115,SDG: Central and Southern Asia,Kazakhstan,2020,male,99.8,56.28,27.99,102.53,99.9,20.16,4.45
136,SDG: Central and Southern Asia,Tajikistan,2012,female,97.6,8.92,0.0,97.0,73.7825,16.37,4.02
137,SDG: Central and Southern Asia,Tajikistan,2012,male,98.44,9.91,0.0,99.25,73.7825,16.37,4.02
138,SDG: Central and Southern Asia,Tajikistan,2013,female,97.8,8.8,0.0,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
139,SDG: Central and Southern Asia,Tajikistan,2013,male,98.7,10.72,0.0,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
140,SDG: Central and Southern Asia,Tajikistan,2014,female,97.9,9.31,0.0,99.26,73.7825,15.022455621301775,4.163665730337078
141,SDG: Central and Southern Asia,Tajikistan,2014,male,98.8,10.62,0.0,99.76,73.7825,15.022455621301775,4.163665730337078
142,SDG: Central and Southern Asia,Tajikistan,2015,female,98.1,9.58,0.0,100.74,73.7825,16.39,4.97
143,SDG: Central and Southern Asia,Tajikistan,2015,male,98.8,10.78,0.0,101.39,73.7825,16.39,4.97
144,SDG: Central and Southern Asia,Tajikistan,2016,female,98.2,9.61,0.0,94.64,73.7825,17.04,5.73
145,SDG: Central and Southern Asia,Tajikistan,2016,male,98.9,11.31,0.0,96.08,73.7825,17.04,5.73
146,SDG: Central and Southern Asia,Tajikistan,2017,female,98.1,9.18,0.0,94.67,73.7825,18.14,5.54
147,SDG: Central and Southern Asia,Tajikistan,2017,male,99.55,10.61,0.0,95.14,73.7825,18.14,5.54
148,SDG: Central and Southern Asia,Tajikistan,2018,female,98.3,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,18.1,5.44
149,SDG: Central and Southern Asia,Tajikistan,2018,male,98.9,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,18.1,5.44
150,SDG: Central and Southern Asia,Tajikistan,2019,female,98.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,18.23,5.59
151,SDG: Central and Southern Asia,Tajikistan,2019,male,98.9,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,18.23,5.59
152,SDG: Central and Southern Asia,Tajikistan,2020,female,98.5,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,18.95,5.96
153,SDG: Central and Southern Asia,Tajikistan,2020,male,99.0,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,18.95,5.96
158,SDG: Central and Southern Asia,Turkmenistan,2012,female,99.7,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,20.8,3.05
159,SDG: Central and Southern Asia,Turkmenistan,2012,male,99.7,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,20.8,3.05
160,SDG: Central and Southern Asia,Turkmenistan,2013,female,99.7,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
161,SDG: Central and Southern Asia,Turkmenistan,2013,male,99.7,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
162,SDG: Central and Southern Asia,Turkmenistan,2014,female,99.7,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
163,SDG: Central and Southern Asia,Turkmenistan,2014,male,99.7,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
164,SDG: Central and Southern Asia,Turkmenistan,2015,female,99.71,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
165,SDG: Central and Southern Asia,Turkmenistan,2015,male,100.0,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
166,SDG: Central and Southern Asia,Turkmenistan,2016,female,99.71,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
167,SDG: Central and Southern Asia,Turkmenistan,2016,male,100.0,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
168,SDG: Central and Southern Asia,Turkmenistan,2017,female,99.7,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
169,SDG: Central and Southern Asia,Turkmenistan,2017,male,99.8,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
170,SDG: Central and Southern Asia,Turkmenistan,2018,female,99.7,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
171,SDG: Central and Southern Asia,Turkmenistan,2018,male,99.8,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,4.163665730337078
172,SDG: Central and Southern Asia,Turkmenistan,2019,female,99.29,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,23.01,3.12
173,SDG: Central and Southern Asia,Turkmenistan,2019,male,99.42,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,23.01,3.12
174,SDG: Central and Southern Asia,Turkmenistan,2020,female,99.7,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,28.0,4.163665730337078
175,SDG: Central and Southern Asia,Turkmenistan,2020,male,99.8,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,28.0,4.163665730337078
194,SDG: Central and Southern Asia,Uzbekistan,2021,female,99.7,43.36,0.0,100.81,100.0,21.43,4.62
195,SDG: Central and Southern Asia,Uzbekistan,2021,male,99.71,44.63,0.0,102.07,100.0,21.43,4.62
196,SDG: Central and Southern Asia,Afghanistan,2012,female,32.9,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,6.49,2.6
197,SDG: Central and Southern Asia,Afghanistan,2012,male,59.3,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,6.49,2.6
198,SDG: Central and Southern Asia,Afghanistan,2013,female,35.9,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,7.13,3.45
199,SDG: Central and Southern Asia,Afghanistan,2013,male,62.1,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,7.13,3.45
200,SDG: Central and Southern Asia,Afghanistan,2014,female,38.9,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,7.96,3.7
201,SDG: Central and Southern Asia,Afghanistan,2014,male,64.7,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,7.96,3.7
202,SDG: Central and Southern Asia,Afghanistan,2015,female,40.35,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,7.28,3.26
203,SDG: Central and Southern Asia,Afghanistan,2015,male,67.31,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7825,7.28,3.26
204,SDG: Central and Southern Asia,Afghanistan,2016,female,45.1,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,63.6,73.7825,8.26,4.54
205,SDG: Central and Southern Asia,Afghanistan,2016,male,69.2,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,96.54,73.7825,8.26,4.54
206,SDG: Central and Southern Asia,Afghanistan,2017,female,48.2,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,66.69,73.7825,8.2,4.34
207,SDG: Central and Southern Asia,Afghanistan,2017,male,71.2,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,101.29,73.7825,8.2,4.34
208,SDG: Central and Southern Asia,Afghanistan,2018,female,51.0,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,67.13,73.7825,15.022455621301775,3.4
209,SDG: Central and Southern Asia,Afghanistan,2018,male,73.1,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,103.28,73.7825,15.022455621301775,3.4
210,SDG: Central and Southern Asia,Afghanistan,2019,female,53.8,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,65.76,73.7825,15.022455621301775,3.24
211,SDG: Central and Southern Asia,Afghanistan,2019,male,74.9,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,102.12,73.7825,15.022455621301775,3.24
212,SDG: Central and Southern Asia,Afghanistan,2020,female,56.5,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,2.86
213,SDG: Central and Southern Asia,Afghanistan,2020,male,76.5,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,88.92935483870968,73.7825,15.022455621301775,2.86
216,SDG: Central and Southern Asia,Bangladesh,2012,female,80.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,47.22,12.28,2.05
217,SDG: Central and Southern Asia,Bangladesh,2012,male,69.5,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,57.41,12.28,2.05
218,SDG: Central and Southern Asia,Bangladesh,2013,female,78.59,32.85,0.0,88.92935483870968,48.92,11.81,1.97
219,SDG: Central and Southern Asia,Bangladesh,2013,male,66.2,32.83,0.0,88.92935483870968,58.57,11.81,1.97
220,SDG: Central and Southern Asia,Bangladesh,2014,female,84.44,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,49.89,13.31,2.1
221,SDG: Central and Southern Asia,Bangladesh,2014,male,75.05,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,58.75,13.31,2.1
222,SDG: Central and Southern Asia,Bangladesh,2015,female,84.9,32.63,0.0,88.92935483870968,55.19,12.04,1.87
223,SDG: Central and Southern Asia,Bangladesh,2015,male,72.4,32.09,0.0,88.92935483870968,63.63,12.04,1.87
224,SDG: Central and Southern Asia,Bangladesh,2016,female,86.5,36.17,0.0,88.92935483870968,64.15,13.98,2.22
225,SDG: Central and Southern Asia,Bangladesh,2016,male,73.5,34.89,0.0,88.92935483870968,72.01,13.98,2.22
226,SDG: Central and Southern Asia,Bangladesh,2017,female,87.8,42.48,0.0,88.92935483870968,65.01,13.85,1.85
227,SDG: Central and Southern Asia,Bangladesh,2017,male,74.6,41.03,0.0,88.92935483870968,72.07,13.85,1.85
228,SDG: Central and Southern Asia,Bangladesh,2018,female,89.0,41.63,0.0,88.92935483870968,66.82,11.96,1.66
229,SDG: Central and Southern Asia,Bangladesh,2018,male,75.7,40.04,0.0,88.92935483870968,72.83,11.96,1.66
230,SDG: Central and Southern Asia,Bangladesh,2019,female,89.08,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,67.77,11.33,1.68
231,SDG: Central and Southern Asia,Bangladesh,2019,male,76.3,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",0.0,88.92935483870968,73.7,11.33,1.68
232,SDG: Central and Southern Asia,Bangladesh,2020,female,90.7,46.83,0.0,88.92935483870968,68.25,10.39,1.77
233,SDG: Central and Southern Asia,Bangladesh,2020,male,77.6,44.42,0.0,88.92935483870968,74.44,10.39,1.77
238,SDG: Central and Southern Asia,Bhutan,2012,female,74.1,9.45,0.0,101.06,32.93,15.022455621301775,4.163665730337078
239,SDG: Central and Southern Asia,Bhutan,2012,male,67.4,9.88,0.0,96.94,61.49,15.022455621301775,4.163665730337078
240,SDG: Central and Southern Asia,Bhutan,2013,female,77.0,14.38,0.0,98.84,73.7825,15.69,5.72
241,SDG: Central and Southern Asia,Bhutan,2013,male,69.3,14.57,0.0,94.5,73.7825,15.69,5.72
242,SDG: Central and Southern Asia,Bhutan,2014,female,79.7,19.38,0.0,101.97,73.7825,17.45,6.04
243,SDG: Central and Southern Asia,Bhutan,2014,male,71.3,18.02,0.0,90.66,73.7825,17.45,6.04
244,SDG: Central and Southern Asia,Bhutan,2015,female,82.3,23.64,0.0,101.8,73.7825,18.52,6.27
245,SDG: Central and Southern Asia,Bhutan,2015,male,73.2,22.07,0.0,91.52,73.7825,18.52,6.27
