Unnamed: 0,Region,Country,Year,Gender,Completion Rate for lower secondary Edu,Childhood Education GER,"Gross enrolment ratio, early childhood educational development programmes","Gross intake ratio to the last grade of lower secondary general education,",Literacy rate for 25-64 years old,Expenditure on education as a percentage of total government expenditure (%),Government expenditure on education as a percentage of GDP (%)
54,SDG: Central Asia,Tajikistan,2020,female,96.3,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",0.0,72.63083822296731,68.735,18.95,5.96
55,SDG: Central Asia,Tajikistan,2020,male,98.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",0.0,72.63083822296731,68.735,18.95,5.96
60,SDG: Central Asia,Turkmenistan,2012,female,99.3,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,20.8,3.05
61,SDG: Central Asia,Turkmenistan,2012,male,99.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,20.8,3.05
62,SDG: Central Asia,Turkmenistan,2013,female,99.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
63,SDG: Central Asia,Turkmenistan,2013,male,99.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
64,SDG: Central Asia,Turkmenistan,2014,female,99.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
65,SDG: Central Asia,Turkmenistan,2014,male,99.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
66,SDG: Central Asia,Turkmenistan,2015,female,99.72,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
67,SDG: Central Asia,Turkmenistan,2015,male,99.46,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
68,SDG: Central Asia,Turkmenistan,2016,female,99.72,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
69,SDG: Central Asia,Turkmenistan,2016,male,99.46,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
70,SDG: Central Asia,Turkmenistan,2017,female,99.5,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
71,SDG: Central Asia,Turkmenistan,2017,male,99.5,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
72,SDG: Central Asia,Turkmenistan,2018,female,99.5,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
73,SDG: Central Asia,Turkmenistan,2018,male,99.5,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
74,SDG: Central Asia,Turkmenistan,2019,female,99.29,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,23.01,3.12
75,SDG: Central Asia,Turkmenistan,2019,male,98.76,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,23.01,3.12
76,SDG: Central Asia,Turkmenistan,2020,female,99.6,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,28.0,4.1106463878327
77,SDG: Central Asia,Turkmenistan,2020,male,99.5,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,28.0,4.1106463878327
98,SDG: Central Asia,Uzbekistan,2021,female,99.06,43.36,0.0,72.63083822296731,100.0,21.43,4.62
99,SDG: Central Asia,Uzbekistan,2021,male,99.06,44.63,0.0,72.63083822296731,100.0,21.43,4.62
100,SDG: Central and Southern Asia,Kazakhstan,2012,female,99.6,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,96.64,68.735,19.25,3.9
101,SDG: Central and Southern Asia,Kazakhstan,2012,male,99.3,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,97.66,68.735,19.25,3.9
102,SDG: Central and Southern Asia,Kazakhstan,2013,female,99.6,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,103.13,68.735,17.96,3.44
103,SDG: Central and Southern Asia,Kazakhstan,2013,male,99.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,102.95,68.735,17.96,3.44
104,SDG: Central and Southern Asia,Kazakhstan,2014,female,99.6,36.65,0.0,105.74,68.735,17.32,3.42
105,SDG: Central and Southern Asia,Kazakhstan,2014,male,99.4,36.74,0.0,105.79,68.735,17.32,3.42
106,SDG: Central and Southern Asia,Kazakhstan,2015,female,99.66,45.62,12.59,110.51,68.735,16.82,2.79
107,SDG: Central and Southern Asia,Kazakhstan,2015,male,99.83,41.44,12.23,107.84,68.735,16.82,2.79
108,SDG: Central and Southern Asia,Kazakhstan,2016,female,99.7,43.44,12.73,116.89,68.735,19.6,2.98
109,SDG: Central and Southern Asia,Kazakhstan,2016,male,99.5,43.05,12.52,116.49,68.735,19.6,2.98
110,SDG: Central and Southern Asia,Kazakhstan,2017,female,99.8,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,111.97,68.735,14.34,2.75
111,SDG: Central and Southern Asia,Kazakhstan,2017,male,99.6,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,109.8,68.735,14.34,2.75
112,SDG: Central and Southern Asia,Kazakhstan,2018,female,99.8,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,114.13,68.735,17.9,2.62
113,SDG: Central and Southern Asia,Kazakhstan,2018,male,99.6,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,113.12,68.735,17.9,2.62
114,SDG: Central and Southern Asia,Kazakhstan,2019,female,99.8,47.67,16.87,118.06,68.735,18.96,2.86
115,SDG: Central and Southern Asia,Kazakhstan,2019,male,99.7,46.64,16.33,117.77,68.735,18.96,2.86
116,SDG: Central and Southern Asia,Kazakhstan,2020,female,99.9,55.76,28.22,103.86,99.8,20.16,4.45
117,SDG: Central and Southern Asia,Kazakhstan,2020,male,99.7,56.28,27.99,104.18,99.9,20.16,4.45
138,SDG: Central and Southern Asia,Tajikistan,2012,female,84.35,8.92,0.0,82.19,68.735,16.37,4.02
139,SDG: Central and Southern Asia,Tajikistan,2012,male,93.43,9.91,0.0,90.49,68.735,16.37,4.02
140,SDG: Central and Southern Asia,Tajikistan,2013,female,88.8,8.8,0.0,72.63083822296731,68.735,14.96826379542396,4.1106463878327
141,SDG: Central and Southern Asia,Tajikistan,2013,male,95.3,10.72,0.0,72.63083822296731,68.735,14.96826379542396,4.1106463878327
142,SDG: Central and Southern Asia,Tajikistan,2014,female,90.4,9.31,0.0,90.14,68.735,14.96826379542396,4.1106463878327
143,SDG: Central and Southern Asia,Tajikistan,2014,male,96.0,10.62,0.0,96.12,68.735,14.96826379542396,4.1106463878327
144,SDG: Central and Southern Asia,Tajikistan,2015,female,91.8,9.58,0.0,95.35,68.735,16.39,4.97
145,SDG: Central and Southern Asia,Tajikistan,2015,male,96.5,10.78,0.0,100.02,68.735,16.39,4.97
146,SDG: Central and Southern Asia,Tajikistan,2016,female,93.1,9.61,0.0,97.3,68.735,17.04,5.73
147,SDG: Central and Southern Asia,Tajikistan,2016,male,97.0,11.31,0.0,101.85,68.735,17.04,5.73
148,SDG: Central and Southern Asia,Tajikistan,2017,female,93.84,9.18,0.0,94.18,68.735,18.14,5.54
149,SDG: Central and Southern Asia,Tajikistan,2017,male,97.11,10.61,0.0,98.08,68.735,18.14,5.54
150,SDG: Central and Southern Asia,Tajikistan,2018,female,95.0,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",0.0,72.63083822296731,68.735,18.1,5.44
151,SDG: Central and Southern Asia,Tajikistan,2018,male,97.9,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",0.0,72.63083822296731,68.735,18.1,5.44
152,SDG: Central and Southern Asia,Tajikistan,2019,female,95.7,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",0.0,72.63083822296731,68.735,18.23,5.59
153,SDG: Central and Southern Asia,Tajikistan,2019,male,98.2,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",0.0,72.63083822296731,68.735,18.23,5.59
154,SDG: Central and Southern Asia,Tajikistan,2020,female,96.3,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",0.0,72.63083822296731,68.735,18.95,5.96
155,SDG: Central and Southern Asia,Tajikistan,2020,male,98.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",0.0,72.63083822296731,68.735,18.95,5.96
160,SDG: Central and Southern Asia,Turkmenistan,2012,female,99.3,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,20.8,3.05
161,SDG: Central and Southern Asia,Turkmenistan,2012,male,99.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,20.8,3.05
162,SDG: Central and Southern Asia,Turkmenistan,2013,female,99.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
163,SDG: Central and Southern Asia,Turkmenistan,2013,male,99.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
164,SDG: Central and Southern Asia,Turkmenistan,2014,female,99.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
165,SDG: Central and Southern Asia,Turkmenistan,2014,male,99.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
166,SDG: Central and Southern Asia,Turkmenistan,2015,female,99.72,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
167,SDG: Central and Southern Asia,Turkmenistan,2015,male,99.46,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
168,SDG: Central and Southern Asia,Turkmenistan,2016,female,99.72,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
169,SDG: Central and Southern Asia,Turkmenistan,2016,male,99.46,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
170,SDG: Central and Southern Asia,Turkmenistan,2017,female,99.5,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,72.63083822296731,68.735,14.96826379542396,4.1106463878327
